T00037, 450
T00038, 50
T00039, 450
T00040, 111
T00041, 239
T00042, 104
T00044, 95
T00046, 10
T00047, 1000
T00049, 400
T00050, 2
T00051, 9
T00052, 8
T00053, 510
T00055, 1373
T00058, 15
T00059, 17
T00062, 3
T00063, 775
T00069, 5
T00076, 645
T00088, 6
T00093, 26
T00096, 100
T00097, 159
T00390, 1
TOOO78, 2
U231100, 100
U231200, 3724
U231400, 12
U231500, 250
U232300, 57
U232400, 19
V241111, 6721
V242110, 3400
V242112, 1008
V242113, 4041
V242120, 265
V242210, 3608
V242211, 80
V251320, 12609
V251321, 183
VM00012, 95
VM0003, 5
VM0009, 1
VM0012, 1
VM0018, 1
VM0023, 1
VM0025, 5
VM0031, 1
W0, 15
W0001, 2
W0003, 15
W00035, 2
W00036, 12
W0004, 10
W0005, 28
W0010, 0.75
W002001, 1
W002004, 8
W00209, 10
W00210, 3
W0032, 4
W0034, 3
W01, 63
W0100, 1
W01003, 5
W01004, 5
W01006, 15
W01010, 4
W02, 4
W020031, 5
W020042, 3
W020045, 6
W02005, 2
W020051, 17
W020058, 1
W020059, 2
W02006, 9
W020061, 2
W02007, 1
W02008, 1
W02009, 2
W02010, 12
W02011, 7
W02012, 2
W020124, 3
W02014, 4
W020141, 24
W020143, 5
W020144, 5
W02016, 3
W02017, 6
W02018, 2
W02020, 3
W02021, 3
W02022, 2
W02023, 3
W020231, 13
W02024, 1
W020241, 5
W02025, 5
W02030, 6
W02033, 11
W02034, 6
W02036, 2
W02037, 3
W020391, 18
W02040, 1
W020401, 8
W020402, 7
W02041, 1
W02042, 11
W02046, 6
W02047, 4
W02049, 6
W02050, 3
W02051, 12
W02052, 4
W020529, 24
W02053, 6
W02054, 7
W02057, 5
W02058, 30
W02059, 1
W02060, 2
W02061, 12
W02063, 15
W020633, 28
W02064, 15
W02065, 5
W02067, 25
W020670, 7
W02069, 3
W02070, 7
W02071, 1
W020731, 1
W02081, 10
W02083, 3
W02084, 7
W02089, 2
W02094, 5
W02096, 14
W021011, 4
W021012, 7
W02104, 3
W02106, 1
W02107, 1
W02111, 5
W02113, 4
W02118, 2
W02120, 5
W02122, 3
W02123, 18
W02124, 1
W02126, 6
W02128, 1
W02134, 6
W02137, 4
W02138, 22
W02139, 4
W02145, 6
W02154, 2
W02156, 2
W02158, 4
W02161, 4
W02173, 3
W02176, 2
W02179, 16
W02180, 4
W02181, 16
W02182, 23
W02183, 25
W02190, 17
W02191, 11
W02192, 2
W02294, 11
W02296, 15
W02331, 1
W02558, 3
W02572, 25
W02573, 17
W02574, 2
W02586, 2
W02587, 1
W02588, 5
W02593, 75
W02596, 3
W02597, 6
W0266, 21
W02670, 7
W02671, 3
W02677, 15
W02678, 11
W02680, 2
W02683, 3
W02895, 10
W02896, 14
W02898, 2
W02984, 4
W02988, 6
W03005, 10
W030055, 2
W03006, 16
W030101, 9
W03011, 4
W03013, 14
W030142, 1
W03018, 3
W03019, 45
W03020, 4
W030201, 3
W030225, 4
W03026, 1
W03041, 7
W030415, 23
W03042, 9
W0304242, 12
W030425, 2
W030426, 27
W030443, 3
W03049, 370
W03051, 1
W03055, 1
W03062, 4
W03077, 8
W03083, 20
W03087, 10
W03088, 12
W03090, 1
W030969, 1
W03107, 3
W03116, 2
W03189, 7
W0320, 4
W03252, 2
W03259, 2
W0326, 2
W03260, 2
W0327, 3
W03290, 1
W03295, 5
W0331, 2
W03429, 1
W03464, 7
W03890, 5
W03896, 11
W04651, 1
W05003, 40
W05007, 13
W0501120, 200
W050119, 1
W05012, 4
W07049, 4
W0804, 1
W0X, 5
W10005, 5
W10008, 248.75
W10011, 0.5
W10020, 4
W10029, 4
W10031, 3
W10032, 22
W10035, 2
W10037, 5
W10042, 2
W10044, 2
W110021, 20
W110741, 2
W11080, 7
W12002, 3
W12003, 1
W12005, 2
W120101, 16
W12011, 11
W12012, 5
W12013, 11
W12023, 1
W12026, 3
W12028, 2
W12029, 18
W12031, 10
W120334, 2
W12034, 1
